"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","e4rVHe"
"https://www.google.com.br/maps/place/Dr.+Leandro+Cabral+-+Advocacia+%26+Consultoria/data=!4m7!3m6!1s0x975e0bd09b59a5:0xd3624bbce055fac3!8m2!3d-22.8942533!4d-42.4700749!16s%2Fg%2F11b6hzpyn1!19sChIJpVmb0AtelwARw_pV4LxLYtM?authuser=0&hl=pt-BR&rclk=1","Dr. Leandro Cabral - Advocacia & Consultoria","4,3","(3)","Advogado","·","Av. Saquarema, 5397 - sala 302","Aberto","⋅ Fecha às 18:00","·","(22) 98857-1001","","","Rotas","","","Serviços no local","",""
"https://www.google.com.br/maps/place/Advogado+em+Saquarema/data=!4m7!3m6!1s0x975d5b641c9287:0x797029de50bc8e49!8m2!3d-22.8934412!4d-42.4680051!16s%2Fg%2F11tmm0y8fd!19sChIJh5IcZFtdlwARSY68UN4pcHk?authuser=0&hl=pt-BR&rclk=1","Advogado em Saquarema","4,7","(3)","Advogado(a) civil","·","R. Alfredo Menezes, 55","Aberto","⋅ Fecha às 17:00","·","(22) 99936-7904","http://www.brandaoesa.com/","","Website","","Rotas","""Super atenciosos e prestativos, resolveram o meu problema""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Bas%C3%ADlio+%26+Esteves+Advogados/data=!4m7!3m6!1s0x975dfe3ef1ec5d:0xebf5c73ff61fa689!8m2!3d-22.8951021!4d-42.471368!16s%2Fg%2F1hbpwsthy!19sChIJXezxPv5dlwARiaYf9j_H9es?authuser=0&hl=pt-BR&rclk=1","Basílio & Esteves Advogados","5,0","(9)","Advogado","·","Av. Saquarema, 5285","Aberto","⋅ Fecha às 19:00","·","(22) 98155-2221","http://www.estevesadvogados.adv.br/","","Website","","Rotas","""Excelentes profissionais, muita competência e seriedade.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/T%C3%82NIA+LOREN%C3%87%C3%83O+ADVOGADA+PREVIDENCI%C3%81RIA/data=!4m7!3m6!1s0x975fa34559928f:0x8e92b172cf4cc1bd!8m2!3d-22.8931902!4d-42.4709618!16s%2Fg%2F11kpgw8llq!19sChIJj5JZRaNflwARvcFMz3Kxko4?authuser=0&hl=pt-BR&rclk=1","TÂNIA LORENÇÃO ADVOGADA PREVIDENCIÁRIA","5,0","(10)","Advogado previdenciário","·","R. Prof. Souza, 46 - Salas102/103","Aberto","⋅ Fecha às 17:00","·","(22) 99896-9987","https://www.lorencaoesimoes.com/","","Website","","Rotas","""Muito competente, resolveu rapidamente o Auxilio da minha sogra.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Grupo+Priscila+Motta/data=!4m7!3m6!1s0x975dfef782bb59:0xd1afc07cf9915ced!8m2!3d-22.8946842!4d-42.4696177!16s%2Fg%2F11c1wznh4g!19sChIJWbuC9_5dlwAR7VyR-XzAr9E?authuser=0&hl=pt-BR&rclk=1","Grupo Priscila Motta","4,8","(19)","Advogado","·","R. Heitor Bravo, 15 - 01","Aberto","⋅ Fecha às 18:00","·","(22) 2653-3294","http://grupopriscilamotta.com.br/","","Website","","Rotas","""Muito satisfeito com a atenção e o atendimento.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Marianne+Siqueira+Advocacia/data=!4m7!3m6!1s0x975dd056ee8563:0xc7a82fc22351ffcb!8m2!3d-22.8933941!4d-42.4682485!16s%2Fg%2F11qb3k7w9s!19sChIJY4XuVtBdlwARy_9RI8IvqMc?authuser=0&hl=pt-BR&rclk=1","Marianne Siqueira Advocacia","4,7","(16)","Escritório de advocacia","·","·","Aberto","⋅ Fecha às 18:00","Praça Santo Antonio, Nº 230 - Sala 101","(22) 98810-2022","","","Rotas","","","""Excelente profissional, trabalha de forma clara e justa.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com.br/maps/place/Gabriella+Filardi+Advocacia+Individual/data=!4m7!3m6!1s0x9767c7eb919455:0xb1adc3373778fe8a!8m2!3d-22.8904921!4d-42.4661592!16s%2Fg%2F11ksbc9s1d!19sChIJVZSR68dnlwARiv54NzfDrbE?authuser=0&hl=pt-BR&rclk=1","Gabriella Filardi Advocacia Individual","5,0","(4)","Advogado","·","Rod. Amaral Peixoto, km71 - n 140, sala 1,3 e 4","Aberto","⋅ Fecha às 22:30","·","(22) 98810-7949","https://www.linkedin.com/in/gabriella-filardi-6646a7122","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/Julio+Cesar+Silva+Advogado/data=!4m7!3m6!1s0x976129f8b6a847:0xc177e20876605072!8m2!3d-22.8864279!4d-42.4771171!16s%2Fg%2F11h0m6gjpc!19sChIJR6i2-ClhlwARclBgdgjid8E?authuser=0&hl=pt-BR&rclk=1","Julio Cesar Silva Advogado","5,0","(1)","Escritório de advocacia","·","R. Tia Mello, 009","Aberto","⋅ Fecha às 17:00","","","","","Rotas","","","","",""
"https://www.google.com.br/maps/place/Cain%C3%A3+Vidal+Azeredo+-+Advogado/data=!4m7!3m6!1s0x975dffcac86005:0x6912c7df184c4a!8m2!3d-22.8951383!4d-42.4663309!16s%2Fg%2F11qb4_n0h5!19sChIJBWDIyv9dlwARSkwY38cSaQA?authuser=0&hl=pt-BR&rclk=1","Cainã Vidal Azeredo - Advogado","5,0","(4)","Advogado criminal","·","·","Aberto","⋅ Fecha às 17:00","R. Humberto Ferreira de Castro","(22) 99849-4897","https://cainavidal.jusbrasil.com.br/","","Website","","Rotas","Serviços no local","",""
"https://www.google.com.br/maps/place/Sandy+Freitas+%E2%80%93+Advogada+Criminalista+em+Araruama+RJ/data=!4m7!3m6!1s0x2442a8af2f2d01df:0x5e289f214473ca23!8m2!3d-22.8828077!4d-42.3700284!16s%2Fg%2F11wq905fs2!19sChIJ3wEtL6-oQiQRI8pzRCGfKF4?authuser=0&hl=pt-BR&rclk=1","Sandy Freitas – Advogada Criminalista em Araruama RJ","5,0","(13)","Advogado","·","Rod. Amaral Peixoto, km 80 - s/n","Aberto 24 horas","","·","(21) 97033-6202","https://www.sandyfreitas.com/","","Website","","Rotas","Agendamento on-line","",""
